,SongName,ArtistName
136,Hips Don't Lie (feat. Wyclef Jean),Shakira
137,Call Out My Name,The Weeknd
138,Sanctify,Years & Years
139,Freaky Friday (feat. Chris Brown),Lil Dicky
140,Cuando Acaba el Placer,Los 4
"141,Hard 2 Face Reality,""Poo Bear, Justin Bieber, Jay Electronica"""
"142,Cásate Conmigo,""Silvestre Dangond, Nicky Jam"""
"143,""i hate u, i love u (feat. olivia o'brien)"",gnash"
144,Faded,Alan Walker
"145,Mi Mala - Remix,""Mau y Ricky, KAROL G, Becky G, Leslie Grace, Lali"""
146,Ma meilleure amie,Vald
"147,De las 2 (feat. Bad Bunny & Arcángel),""Trap Capos, Noriel"""
148,Treat You Better,Shawn Mendes
149,Er Derude,Skinz
"150,Sin Pijama,""Becky G, Natti Natasha"""
151,Too Good At Goodbyes,Sam Smith
152,Strongest,Ina Wroldsen
153,Lay It All on Me (feat. Ed Sheeran),Rudimental
154,You Make It Easy,Jason Aldean
155,Transportin',Kodak Black
"156,Loca Remix,""KHEA, Bad Bunny, Duki, Cazzu"""
157,Shape of You,Ed Sheeran
158,The Other,Lauv
"159,Rewrite The Stars,""Zac Efron, Zendaya"""
160,El Perdedor,Maluma
"161,Me Mata,""Bad Bunny, Mambo Kingz, DJ Luian, Arcangel, Almighty, Bryant Myers, Noriel, Baby Rasta, Brytiago"""
"162,Just Hold On,""Steve Aoki, Louis Tomlinson"""
"163,Si Te Vas,""Sech, Ozuna"""
164,Bounce Out With That,YBN Nahmir
"165,Hear Me Now,""Alok, Bruno Martini, Zeeba"""
"166,Breathe,""Jax Jones, Ina Wroldsen"""
167,All The Stars (with SZA),Kendrick Lamar
168,Contrário,Jonas Esticado
169,Fallin' All In You,Shawn Mendes
"170,Let Me Love You,""DJ Snake, Justin Bieber"""
171,Call Out My Name,The Weeknd
172,YRF (feat. Fredo & Not3s),GRM Daily
"173,逃生門 (feat. 王灝兒) - 門外版,""Endy Chow, JW"""
"174,Qué Tienes Tú (feat. Jesús de Reik & Mau y Ricky),""Dvicio, Jesús Reik"""
"175,""Yo x Ti, Tu x Mi"",""ROSALÍA, Ozuna"""
176,Counting Stars,OneRepublic
177,Willst du,Alligatoah
178,Deszcz Na Betonie,Taco Hemingway
179,Öyle Dertli,Duman
180,Una Nueva Noche Fría,Callejeros
181,Can't Feel My Face,The Weeknd
182,Ese Maldito Momento,No Te Va Gustar
"183,KorsKorsKors,""Senkise, Hiro"""
184,Mundo,IV Of Spades
185,LOVE LOVE LOVE,DREAMS COME TRUE
186,It Ain't Me (with Selena Gomez),Kygo
187,Lost In Japan,Shawn Mendes
188,El Amante,Nicky Jam
189,God's Plan,Drake
"190,Starboy,""The Weeknd, Daft Punk"""
191,Paris,The Chainsmokers
192,La Chica Del Bikini Azul,Luis Miguel
193,Try Me,The Weeknd
194,Sirenas,Taburete
195,Sweet Child O' Mine,Guns N' Roses
196,Everybody Hates Me,The Chainsmokers
"197,Powerglide (feat. Juicy J),""Rae Sremmurd, Swae Lee, Slim Jxmmi"""
198,Ummadığım Anda,Koray Avcı
199,Too Good At Goodbyes,Sam Smith
200,All of Me,John Legend
201,IDGAF,Dua Lipa
202,Falling,Trevor Daniel
203,Leef,André Hazes Jr.
"204,""These Days (feat. Jess Glynne, Macklemore & Dan Caplen)"",Rudimental"
205,ily (i love you baby) (feat. Emilee),Surf Mesa
206,Same Bitches (feat. G-Eazy & YG),Post Malone
207,Feel It Still,Portugal. The Man
208,2002,Anne-Marie
209,Let Her Go,Passenger
210,New Rules,Dua Lipa
211,Every Breath You Take,The Police
"212,Pa' Olvidarme De Ella,""Piso 21, Christian Nodal"""
"213,Know Your Worth,""Khalid, Disclosure"""
214,缺,Hins Cheung
215,FAKE LOVE,BTS
"216,X,""Nicky Jam, J Balvin"""
217,Explícale (feat. Bad Bunny),Yandel
218,Walk On Minks,Future
219,Que Tire Pa Lante,Daddy Yankee
220,Ransom,Lil Tecca
221,Hunger,Florence + The Machine
222,Perdóname,FMK
223,Drunk On You,Zookeepers
"224,Unforgettable,""Robin Schulz, Marc Scibilia"""
"225,""Ghungroo (From """"War"""")"",""Arijit Singh, Shilpa Rao"""
226,Too Much To Ask,Niall Horan
227,Play Date,Melanie Martinez
"228,Riks Raks Poks,""Gasellit, Elias Gould"""
"229,Fisa - Freestyle,""Super Ed, Shift, Runnix"""
230,LATATA,(G)I-DLE
231,Paranoid,Post Malone
232,Si Te Sentis Sola,Duki
233,Feel It Still,Portugal. The Man
"234,Breathe,""Jax Jones, Ina Wroldsen"""
235,Thunder,Imagine Dragons
236,17,MK
"237,""Dying Inside To Hold You - From """" All Of You"""" Official Soundtrack"",Darren Espanto"
238,Nice For What,Drake
239,Scoo Scoo,Abo El Anwar
240,Shape of You,Ed Sheeran
"241,Por Perro,""Sebastian Yatra, Luis Figueroa, Lary Over"""
242,I'm Upset,Drake
243,Ambiente,J Balvin
244,Trátame Suavemente - Remasterizado 2007,Soda Stereo
245,I Like Me Better,Lauv
246,ocean eyes,Billie Eilish
247,Here Comes The Sun - Remastered 2009,The Beatles
248,Asal Kau Bahagia,Armada
249,Despacito (Featuring Daddy Yankee),Luis Fonsi
250,Look At Me!,XXXTENTACION
251,Back To You,Selena Gomez
252,Nostalgia,Taco Hemingway
"253,Guatemala - From Swaecation,""Rae Sremmurd, Swae Lee, Slim Jxmmi"""
254,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine
255,Nephew (feat. Lil Pump),Smokepurpp
256,La player (Bandolera),Zion & Lennox
257,Youngblood,5 Seconds of Summer
258,There's Nothing Holdin' Me Back,Shawn Mendes
259,Bloom,Troye Sivan
"260,NUMB,""Hayden James, GRAACE"""
261,En Peligro de Extinción,La Adictiva Banda San José de Mesillas
262,Never Not,Lauv
263,Gömün Beni Çukura,Eypio
"264,Mayores,""Becky G, Bad Bunny"""
"265,FRIENDS,""Marshmello, Anne-Marie"""
266,Natural,Imagine Dragons
267,Thunder,Imagine Dragons
268,Ahora,J Balvin
269,I’m Ready (with Demi Lovato),Sam Smith
270,敢,Gin Lee
271,Intentions (feat. Quavo),Justin Bieber
272,Without Me,Halsey
"273,Tu Esi Noriu,""Alekna, Otreya"""
274,No Te Vas,Nacho
275,REMEDY,Alesso
276,I Like Me Better,Lauv
"277,Live It Up - Official Song 2018 FIFA World Cup Russia,""Nicky Jam, Will Smith, Era Istrefi"""
